,fire_weather_special.tm,fire_weather_special.district_1,fire_weather_special.district_2,fire_weather_special.stn,fire_weather_special.reg_id,fire_weather_special.wrn,fire_weather_special.lvl,fire_weather_special.cmd
14044,2018-08-23 11:58:00,대전광역시,유성구,133,L1030100,T,1,1
14748,2018-08-23 13:00:00,대전광역시,유성구,133,L1030100,T,2,1
14916,2018-08-24 03:00:00,대전광역시,유성구,133,L1030100,T,3,2
15090,2018-08-24 07:30:00,대전광역시,유성구,133,L1030100,T,2,2
15216,2018-08-24 10:00:00,대전광역시,유성구,133,L1030100,T,2,3
17481,2018-10-06 11:58:00,대전광역시,유성구,133,L1030100,T,1,1
17986,2018-10-06 05:50:00,대전광역시,유성구,133,L1030100,T,2,1
18144,2018-10-06 15:00:00,대전광역시,유성구,133,L1030100,T,2,3
35794,2019-09-07 05:59:00,대전광역시,유성구,133,L1030100,T,1,1
36128,2019-09-07 04:00:00,대전광역시,유성구,133,L1030100,T,3,1
36528,2019-09-07 16:00:00,대전광역시,유성구,133,L1030100,T,3,4
37622,2019-09-22 17:58:00,대전광역시,유성구,133,L1030100,T,1,1
38269,2019-09-22 15:00:00,대전광역시,유성구,133,L1030100,T,2,1
38424,2019-09-22 22:20:00,대전광역시,유성구,133,L1030100,T,2,3
38927,2019-10-03 05:59:00,대전광역시,유성구,133,L1030100,T,1,1
39343,2019-10-02 20:00:00,대전광역시,유성구,133,L1030100,T,2,1
39530,2019-10-03 03:00:00,대전광역시,유성구,133,L1030100,T,2,3
58032,2020-08-26 17:58:00,대전광역시,유성구,133,L1030100,T,1,1
58447,2020-08-26 19:00:00,대전광역시,유성구,133,L1030100,T,2,1
58654,2020-08-27 06:00:00,대전광역시,유성구,133,L1030100,T,2,3
59542,2020-09-02 23:58:00,대전광역시,유성구,133,L1030100,T,1,1
59954,2020-09-02 17:00:00,대전광역시,유성구,133,L1030100,T,2,1
60242,2020-09-03 02:00:00,대전광역시,유성구,133,L1030100,T,3,2
60309,2020-09-03 09:00:00,대전광역시,유성구,133,L1030100,T,3,3
60781,2020-09-07 08:59:00,대전광역시,유성구,133,L1030100,T,1,1
61154,2020-09-07 05:00:00,대전광역시,유성구,133,L1030100,T,2,1
61370,2020-09-07 17:00:00,대전광역시,유성구,133,L1030100,T,2,3
97373,2022-09-05 23:58:00,대전광역시,유성구,133,L1030100,T,1,1
97675,2022-09-05 21:00:00,대전광역시,유성구,133,L1030100,T,2,1
97819,2022-09-06 00:00:00,대전광역시,유성구,133,L1030100,T,3,2
97933,2022-09-06 07:30:00,대전광역시,유성구,133,L1030100,T,2,2
98070,2022-09-06 09:20:00,대전광역시,유성구,133,L1030100,T,2,3
117327,2023-08-10 05:58:00,대전광역시,유성구,133,L1030100,T,1,1
118136,2023-08-10 01:00:00,대전광역시,유성구,133,L1030100,T,2,1
118277,2023-08-10 09:00:00,대전광역시,유성구,133,L1030100,T,3,2
118391,2023-08-10 16:30:00,대전광역시,유성구,133,L1030100,T,2,2
118533,2023-08-10 22:00:00,대전광역시,유성구,133,L1030100,T,2,3
135950,2018-08-24 07:30:00,대전광역시,유성구,133,S1251300,T,2,4
135954,2018-08-24 07:30:00,대전광역시,유성구,133,S1251400,T,3,4
150646,2019-09-07 19:00:00,대전광역시,유성구,133,L1031600,T,3,4
152727,2019-10-03 03:00:00,대전광역시,유성구,133,S1251400,T,2,4
168471,2020-08-27 06:00:00,대전광역시,유성구,133,S1251400,T,3,4
168615,2020-08-27 09:00:00,대전광역시,유성구,133,S1251300,T,3,4
169832,2020-09-03 09:00:00,대전광역시,유성구,133,S1251300,T,3,4
169836,2020-09-03 09:00:00,대전광역시,유성구,133,S1251400,T,3,4
171017,2020-09-07 17:00:00,대전광역시,유성구,133,S1251300,T,2,4
171019,2020-09-07 17:00:00,대전광역시,유성구,133,S1251400,T,2,4
171023,2020-09-07 17:00:00,대전광역시,유성구,133,L1031600,T,3,4
207142,2022-09-06 07:30:00,대전광역시,유성구,133,L1031600,T,2,4
207242,2022-09-06 09:20:00,대전광역시,유성구,133,S1251400,T,2,4
227421,2023-08-10 22:00:00,대전광역시,유성구,133,S1251400,T,2,4
227439,2023-08-10 22:00:00,대전광역시,유성구,133,L1031600,T,2,4
227587,2023-08-11 06:00:00,대전광역시,유성구,133,S1251300,T,2,4
